,0,1
2002,"Nun, was?",{'entities': []}
2003,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2004,"Was mich die Sache… begreifen macht… Hörſt Du, Emilie, ich habe keine Luft, Dich für eine Elende zu halten!","{'entities': [(35, 45, 'ORG'), (76, 80, 'LOC')]}"
2005,Emilie.,"{'entities': [(0, 6, 'PER')]}"
2006,Du verzeihſt mir?,{'entities': []}
2007,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2008,"Du ſollſt mir ſagen, was dieſe Steine bedeuten!",{'entities': []}
2009,Emilie,"{'entities': [(0, 6, 'PER')]}"
2010,.,{'entities': []}
2011,Und dann wirſt Du mir verzeihen—?,"{'entities': [(15, 32, 'MISC')]}"
2012,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2013,"Dieſer Rubin, was er bedeutet, warum Du ihn aufbewahrt— Emilie.","{'entities': [(0, 12, 'PER')]}"
2014,—,{'entities': []}
2015,Und wirſt mich ruhig anhören?,{'entities': []}
2016,Anatol,"{'entities': [(0, 6, 'MISC')]}"
2017,…,"{'entities': [(0, 1, 'MISC')]}"
2018,Ja!,{'entities': []}
2019,… Aber ſprich’ endlich… Emilie… Dieſer Rubin… er ſtammt aus einem Medaillon… er iſt… herausgefallen… Anatol.,"{'entities': [(0, 14, 'PER'), (22, 44, 'PER'), (83, 84, 'MISC'), (99, 107, 'MISC')]}"
2020,Von wem war dieſes Medaillon—?,"{'entities': [(12, 18, 'MISC')]}"
2021,Emilie,"{'entities': [(0, 6, 'PER')]}"
2022,.,{'entities': []}
2023,Daran liegt es nicht…,"{'entities': [(20, 21, 'MISC')]}"
2024,Ich hatte es nur an einem… beſtimmten Tage um— an einer einfachen Kette… um den Hals.,"{'entities': [(25, 26, 'MISC'), (71, 72, 'MISC')]}"
2025,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2026,Von wem,{'entities': []}
2027,Du es hatteſt,"{'entities': [(0, 13, 'MISC')]}"
2028,—?,{'entities': []}
2029,Emilie.,"{'entities': [(0, 6, 'PER')]}"
2030,"Das iſt gleichgültig… ich glaube, von meiner Mutter… Siehſt Du, wenn ich nun ſo elend wäre, als Du glaubſt, ſo könnte ich Dir ſagen: darum, weil es von meiner Mutter ſtammt, hab’ ich es aufbewahrt— und Du würdeſt mir glauben…","{'entities': [(20, 21, 'MISC'), (51, 59, 'PER'), (122, 125, 'PER'), (202, 216, 'MISC'), (224, 225, 'MISC')]}"
2031,"Ich habe aber dieſen Rubin aufbewahrt, weil er… an einem Tage aus meinem Medaillon fiel, deſſen Erinnerung… mir theuer iſt… Anatol… Weiter!","{'entities': [(21, 26, 'PER'), (46, 47, 'MISC'), (106, 107, 'PER'), (122, 130, 'MISC')]}"
2032,Emilie,"{'entities': [(0, 6, 'PER')]}"
2033,.,{'entities': []}
2034,"Ach, es wird mir ſo leicht, wenn ich Dir’s erzählen darf.",{'entities': []}
2035,"— Sag’, würdeſt Du mich nicht auslachen, wenn ich eiferſüchtig wäre auf Deine erſte Liebe?","{'entities': [(16, 18, 'PER'), (72, 77, 'MISC')]}"
2036,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2037,Was ſoll das?,{'entities': []}
2038,Emilie.,"{'entities': [(0, 6, 'PER')]}"
2039,"Und doch, die Erinnerung daran iſt etwas Süßes, einer von den Schmerzen, die uns zu liebkoſen ſcheinen…","{'entities': [(41, 46, 'LOC'), (102, 103, 'MISC')]}"
2040,"Und dann… für mich iſt der Tag von Bedeutung, an welchem ich das Gefühl kennen lernte, welches mich— Dir verbindet.","{'entities': [(8, 9, 'MISC'), (27, 44, 'MISC'), (95, 104, 'PER')]}"
2041,"Oh, man muß lieben gelernt haben, um zu lieben, wie ich Dich liebe!","{'entities': [(56, 60, 'LOC')]}"
2042,"… Hätten wir uns Beide zu einer Zeit gefunden, wo uns die Liebe etwas Neues war, wer weiß, ob wir an einander nicht achtlos vorübergegangen wären?","{'entities': [(0, 8, 'MISC'), (32, 36, 'MISC')]}"
2043,"… Oh, ſchüttle den Kopf nicht, Anatol;","{'entities': [(0, 4, 'ORG'), (31, 37, 'MISC')]}"
2044,"es iſt ſo, und Du ſelbſt haſt es einmal geſagt— Anatol.","{'entities': [(40, 54, 'MISC')]}"
2045,Ich ſelbſt—?,"{'entities': [(4, 11, 'LOC')]}"
2046,Emilie.,"{'entities': [(0, 6, 'PER')]}"
2047,"Vielleicht iſt es gut ſo, ſo ſprachſt Du, und wir mußten Beide erſt reif werden für dieſe Höhe der Leidenſchaft!","{'entities': [(99, 112, 'ORG')]}"
2048,Anatol,"{'entities': [(0, 6, 'MISC')]}"
2049,.,{'entities': []}
2050,"Ja,… wir haben immer irgend einen Troſt ſolcher Art bereit, wenn wir eine Gefallene lieben.","{'entities': [(3, 4, 'MISC'), (40, 47, 'MISC')]}"
2051,Emilie,"{'entities': [(0, 6, 'PER')]}"
2052,.,{'entities': []}
2053,"Dieſer Rubin, ich bin ganz offen mit Dir, bedeutet die Erinnerung an den Tag… Anatol…","{'entities': [(0, 12, 'PER'), (73, 85, 'MISC')]}"
2054,"So ſag’s,… ſag’s… Emilie.","{'entities': [(9, 10, 'MISC'), (16, 24, 'PER')]}"
2055,—,{'entities': []}
2056,Du weißt es ſchon… ja… Anatol… die Erinnerung an jenen Tag…,"{'entities': [(17, 30, 'MISC'), (55, 59, 'MISC')]}"
2057,"Ach,… ich war ein dummes Ding… ſechzehn Jahre!","{'entities': [(0, 3, 'PER'), (4, 5, 'MISC')]}"
2058,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2059,Und er zwanzig— und groß und ſchwarz!,{'entities': []}
2060,… Emilie.,"{'entities': [(0, 1, 'MISC')]}"
2061,(unſchuldig),{'entities': []}
2062,.,{'entities': []}
2063,"Ich weiß es nicht mehr, mein Geliebter…","{'entities': [(38, 39, 'MISC')]}"
2064,"Nur an den Wald erinnere ich mich, der uns umrauſchte, an den Frühlingstag, der über den Bäumen lachte… ach, an einen Sonnenſtrahl erinnere ich mich, der zwiſchen dem Geſträuche hervorkam und über einen Haufen gelber Blumen glitzerte— Anatol.","{'entities': [(102, 103, 'PER'), (224, 241, 'MISC')]}"
2065,"Und Du verfluchſt dieſen Tag nicht, der Dich mir nahm, bevor ich dich kannte?","{'entities': [(4, 44, 'MISC')]}"
2066,Emilie.,"{'entities': [(0, 6, 'PER')]}"
2067,"Vielleicht gab er mich Dir…! Nein, Anatol… wie immer es ſei, ich fluche jenem Tage nicht, und verſchmähe auch.","{'entities': [(35, 42, 'MISC')]}"
2068,"Dir vorzulügen, daß ich es jemals that… Anatol, daß ich Dich liebe, wie keinen je— und ſo wie Du nie geliebt worden— Du weißt es ja… aber, wenn auch jede Stunde, die ich je erlebte, durch Deinen erſten Kuß bedeutungslos geworden,— jeder Mann, dem ich begegnete, aus meinem Gedächtnis ſchwand,— kann ich deßwegen die Minute vergeſſen, die mich zum Weibe machte—?","{'entities': [(38, 46, 'PER'), (94, 116, 'MISC'), (131, 132, 'MISC'), (188, 194, 'LOC'), (202, 205, 'ORG')]}"
2069,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2070,"Und Du giebſt vor, mich zu lieben—?","{'entities': [(27, 34, 'MISC')]}"
2071,Emilie,"{'entities': [(0, 6, 'PER')]}"
2072,.,{'entities': []}
2073,Ich kann mich der Geſichtszüge jenes Mannes kaum erinnern;,{'entities': []}
2074,"ich weiß nicht mehr, wie ſeine Augen blickten— Anatol.","{'entities': [(37, 53, 'PER')]}"
2075,"Aber daß Du in ſeinen Armen die erſten Seufzer der Liebe gelacht haſt… daß von ſeinem Herzen zuerſt jene Wärme in das Deine überſtrömte, die das ahnungsvolle Mädchen zum wiſſenden Weibe machte, das kannſt Du ihm nicht vergeſſen, dankbare Seele!","{'entities': [(9, 27, 'MISC'), (69, 70, 'MISC'), (118, 123, 'MISC'), (198, 207, 'ORG'), (238, 244, 'ORG')]}"
2076,"Und Du ſiehſt nicht ein, daß mich dies Geſtändniß toll machen muß, daß Du mit einem Male dieſe ganze ſchlummernde Vergangenheit wieder aufgeſtört haſt!","{'entities': [(39, 49, 'PER')]}"
2077,…,"{'entities': [(0, 1, 'MISC')]}"
2078,"Ja, nun weiß ich’s wieder, daß Du noch von anderen Küſſen träumen kannſt, als von den meinen, und wenn Du Deine Augen in meinen Armen ſchließeſt, ſteht vielleicht ein anderes Bild vor ihnen als das meine!","{'entities': [(31, 33, 'MISC'), (103, 111, 'PER')]}"
2079,Emilie.,"{'entities': [(0, 6, 'PER')]}"
2080,Wie falſch Du mich verſtehſt!,"{'entities': [(11, 13, 'MISC')]}"
2081,"… Da haſt Du freilich recht, wenn Du meinſt, wir ſollten auseinandergehen…","{'entities': [(0, 1, 'MISC'), (34, 43, 'MISC'), (73, 74, 'MISC')]}"
2082,Anatol,"{'entities': [(0, 6, 'MISC')]}"
2083,Nun— wie denn ſoll ich,{'entities': []}
2084,Dich verſtehen…? Emilie.,"{'entities': [(0, 4, 'PER'), (14, 15, 'MISC'), (17, 23, 'PER')]}"
2085,"Wie gut haben es doch die Frauen, die lügen können.",{'entities': []}
2086,"Nein… ihr vertragt ſie nicht, die Wahrheit…! Sag’ mir nur Eines noch: warum haſt Du mich immer darum angefleht?","{'entities': [(58, 63, 'PER'), (81, 83, 'PER')]}"
2087,"„Alles würde ich Dir verzeihen, nur eine Lüge nicht“!","{'entities': [(17, 20, 'PER')]}"
2088,"… noch hör’ ich es, wie Du’s mir ſagteſt…","{'entities': [(0, 1, 'MISC'), (7, 11, 'MISC'), (24, 41, 'MISC')]}"
2089,"Und ich… ich, die Dir Alles geſtand, die ſich vor Dir ſo niedrig, ſo elend machte, die es Dir in’s Angeſicht ſchrie: Anatol, ich bin eine Verlorene, aber ich liebe Dich…! Keine von den dummen Ausflüchten, die die Andern im Munde führen, kam über meine Lippen— Nein, ich ſprach es aus: Anatol, ich habe das Wohlleben geliebt, Anatol, ich war lüſtern, heißblütig— ich habe mich verkauft, verſchenkt—","{'entities': [(7, 8, 'MISC'), (18, 27, 'PER'), (50, 53, 'PER'), (90, 93, 'PER'), (117, 123, 'MISC'), (285, 291, 'MISC'), (306, 315, 'MISC'), (325, 331, 'MISC')]}"
2090,ich bin Deiner Liebe nicht werth…,"{'entities': [(8, 20, 'PER'), (32, 33, 'MISC')]}"
2091,"Erinnerſt Du Dich auch, daß ich Dir das ſagte, bevor Du mir das erſte Mal die Hand küßteſt?","{'entities': [(0, 17, 'MISC'), (53, 82, 'MISC')]}"
2092,…,"{'entities': [(0, 1, 'MISC')]}"
2093,"Ja, ich wollte Dich fliehen, weil ich Dich liebte, und Du verfolgteſt mich… Du haſt um meine Liebe gebettelt… und ich wollte Dich nicht, weil ich mich den Mann nicht zu beflecken getraute, den ich mehr, den ich anders,— ach, den erſten Mann, den ich liebte…! Und da haſt Du mich genommen und ich war Dein!","{'entities': [(15, 19, 'PER'), (38, 42, 'LOC'), (74, 78, 'ORG'), (108, 109, 'MISC'), (125, 129, 'PER'), (211, 219, 'ORG'), (256, 258, 'ORG')]}"
2094,… Wie hab ich geſchauert… gebebt… geweint…,"{'entities': [(24, 25, 'MISC'), (32, 33, 'PER'), (41, 42, 'MISC')]}"
2095,"Und Du haſt mich ſo hoch gehoben, haſt mir Alles wieder zurückgegeben, Stück für Stück, was ſie mir genommen hatten…","{'entities': [(4, 69, 'MISC'), (115, 116, 'MISC')]}"
2096,"ich ward in Deinen wilden Armen, was ich nie geweſen: rein… und glücklich…","{'entities': [(12, 18, 'LOC'), (58, 59, 'MISC'), (73, 74, 'MISC')]}"
2097,"Du warſt ſo groß,… Du konnteſt verzeihen…","{'entities': [(17, 21, 'ORG'), (40, 41, 'MISC')]}"
2098,Und jetzt… Anatol.,"{'entities': [(9, 17, 'MISC')]}"
2099,…,"{'entities': [(0, 1, 'MISC')]}"
2100,Und jetzt…? Emilie.,"{'entities': [(9, 10, 'MISC'), (12, 18, 'PER')]}"
2101,"Und jetzt jagſt Du mich eben wieder davon, weil ich doch nur bin wie die Andern— Anatol.","{'entities': [(16, 18, 'MISC'), (81, 87, 'MISC')]}"
2102,"Nein,… nein, das biſt Du nicht.","{'entities': [(5, 6, 'MISC'), (22, 24, 'MISC')]}"
2103,Emilie,"{'entities': [(0, 6, 'PER')]}"
2104,.,{'entities': []}
2105,(mild): Was willſt Du alſo…? Soll ich ihn wegwerfen… den Rubin..?,"{'entities': [(19, 27, 'MISC'), (51, 52, 'PER')]}"
2106,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2107,"Ich bin nicht groß, ach nein.","{'entities': [(0, 28, 'MISC')]}"
2108,"… ſehr, ſehr kleinlich… wirf ihn weg dieſen Rubin…","{'entities': [(0, 1, 'MISC'), (22, 23, 'MISC'), (44, 50, 'MISC')]}"
2109,(er betrachtet ihn),{'entities': []}
2110,Er iſt aus dem Medaillon gefallen…,"{'entities': [(33, 34, 'MISC')]}"
2111,er lag im Graſe— unter den gelben Blumen…,"{'entities': [(10, 16, 'LOC'), (40, 41, 'MISC')]}"
2112,"ein Sonnenſtrahl fiel darauf… da glitzerte er hervor… (langes Schweigen)— Komm’ Emilie,… es dunkelt draußen, wir wollen im Park ſpazieren gehen…","{'entities': [(28, 29, 'MISC'), (52, 53, 'MISC'), (87, 88, 'MISC'), (143, 144, 'MISC')]}"
2113,Emilie.,"{'entities': [(0, 6, 'PER')]}"
2114,Wird es nicht zu kalt ſein…? Anatol.,"{'entities': [(26, 27, 'MISC'), (29, 35, 'PER')]}"
2115,"Ach nein, es duftet ſchon vom erwachenden Frühling… Emilie.","{'entities': [(50, 58, 'LOC')]}"
2116,"Wie Du willſt, mein Geliebter!","{'entities': [(4, 30, 'MISC')]}"
2117,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2118,Ja— und dieſes Steinchen… Emilie,"{'entities': [(0, 3, 'PER')]}"
2119,.,{'entities': []}
2120,Ach dies… Anatol.,"{'entities': [(10, 16, 'LOC')]}"
2121,"Ja, dieſes ſchwarze da— was iſt’s mit dem— was iſt’s…? Emilie.","{'entities': [(52, 53, 'MISC'), (55, 61, 'PER')]}"
2122,"Weißt Du, was das für ein Stein iſt.?","{'entities': [(0, 8, 'LOC')]}"
2123,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2124,Nun— Emilie.,"{'entities': [(0, 11, 'LOC')]}"
2125,(mit einem ſtolzen begehrlichen Blick),{'entities': []}
2126,Ein ſchwarzer Diamant!,{'entities': []}
2127,Anatol,"{'entities': [(0, 6, 'MISC')]}"
2128,.,{'entities': []}
2129,(erhebt ſich),{'entities': []}
2130,Ah!,{'entities': []}
2131,Emilie (immer den Blick auf den Stein geheftet),"{'entities': [(32, 37, 'LOC')]}"
2132,Selten!,{'entities': []}
2133,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2134,"(mit unterdrückter Wuth) Warum… hm,… warum haſt Du den… aufbewahrt?","{'entities': [(30, 34, 'LOC'), (35, 36, 'PER'), (54, 55, 'MISC')]}"
2135,Emilie,"{'entities': [(0, 6, 'PER')]}"
2136,.,{'entities': []}
2137,(nur immer den Stein anſehend) Den… der iſt eine Viertel Million werth!,"{'entities': [(15, 20, 'LOC')]}"
2138,… Anatol.,"{'entities': [(0, 8, 'MISC')]}"
2139,(ſchreit auf),{'entities': []}
2140,Ah,{'entities': []}
2141,!,{'entities': []}
2142,… (Er wirſt den Stein in den Kamin.),"{'entities': [(0, 1, 'MISC'), (16, 21, 'LOC')]}"
2143,Emilie,"{'entities': [(0, 6, 'PER')]}"
2144,.,{'entities': []}
2145,(ſchreit),{'entities': []}
2146,Was thuſt Du,"{'entities': [(0, 12, 'MISC')]}"
2147,"!!… (Sie bückt ſich und nimmt die Feuerzange, mit der ſie in der Glut herumfährt, um den Stein hervorzuſuchen) Anatol","{'entities': [(65, 69, 'MISC'), (89, 94, 'LOC'), (111, 117, 'MISC')]}"
2148,.,{'entities': []}
2149,"(ſieht ſie, während ſie mit glühenden Wangen vor dem Kaminfeuer kniet, ein paar Secunden an.","{'entities': [(53, 63, 'LOC')]}"
2150,"Dann, ruhig) Dirne!","{'entities': [(13, 19, 'ORG')]}"
2151,(Er geht.),{'entities': []}
2152,Abſchiedsſouper.,"{'entities': [(0, 15, 'LOC')]}"
2153,Perſonen: Anatol.,"{'entities': [(10, 16, 'MISC')]}"
2154,Max. Annie.,"{'entities': [(0, 3, 'MISC'), (5, 10, 'MISC')]}"
2155,Ein Kellner.,{'entities': []}
2156,(Ein Cabinet particulier bei Sacher.,"{'entities': [(1, 12, 'MISC'), (29, 35, 'MISC')]}"
2157,"Anatol, bei der Thüre ſtehend, ertheilt eben dem Kellner Befehle.","{'entities': [(0, 6, 'MISC'), (16, 21, 'MISC')]}"
2158,Max lehnt in einem Fauteuil.),"{'entities': [(0, 3, 'PER')]}"
2159,Max.,"{'entities': [(0, 3, 'MISC')]}"
2160,Na— biſt Du nicht bald fertig—?,"{'entities': [(9, 11, 'MISC')]}"
2161,Anatol…,"{'entities': [(0, 7, 'PER')]}"
2162,Gleich,{'entities': []}
2163,", gleich!",{'entities': []}
2164,—,{'entities': []}
2165,Alſo alles verſtanden?,"{'entities': [(0, 4, 'PER')]}"
2166,— (Kellner ab.),{'entities': []}
2167,Max (wie Anatol in die Mitte des Zimmers zurückkommt).,"{'entities': [(9, 15, 'MISC'), (33, 40, 'ORG')]}"
2168,Und— wenn ſie gar nicht kommt!? Anatol.,"{'entities': [(0, 4, 'PER'), (32, 38, 'MISC')]}"
2169,Warum denn „gar nicht!“— Jetzt— jetzt iſt’s zehn Uhr!,"{'entities': [(16, 31, 'MISC')]}"
2170,—,{'entities': []}
2171,Sie kann ja überhaupt noch gar nicht da ſein!,{'entities': []}
2172,Max.,"{'entities': [(0, 3, 'MISC')]}"
2173,Das Ballet iſt ſchon lange aus!,{'entities': []}
2174,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2175,Ich bitte Dich— bis ſie ſich abſchminkt— und umkleidet!,"{'entities': [(10, 15, 'MISC')]}"
2176,—,{'entities': []}
2177,Ich will übrigens hinüber— ſie erwarten!,"{'entities': [(18, 26, 'PER')]}"
2178,Max,"{'entities': [(0, 3, 'PER')]}"
2179,. Verwöhne ſie nicht!,{'entities': []}
2180,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2181,Verwöhnen!?—,"{'entities': [(0, 12, 'PER')]}"
2182,Wenn Du wüßteſt… Max.,"{'entities': [(15, 20, 'ORG')]}"
2183,"Ich weiß, ich weiß.",{'entities': []}
2184,—,{'entities': []}
2185,Du behandelſt ſie brutal…,"{'entities': [(0, 25, 'MISC')]}"
2186,Als wenn das nicht auch eine Art von Verwöhnen wäre!,{'entities': []}
2187,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2188,Ich wollte was ganz anderes ſagen!,{'entities': []}
2189,—,{'entities': []}
2190,Ja… wenn Du wüßteſt… Max.,"{'entities': [(19, 24, 'ORG')]}"
2191,So ſag’s endlich einmal… Anatol.,"{'entities': [(23, 31, 'MISC')]}"
2192,Mir iſt ſehr feierlich zu Muthe!,"{'entities': [(0, 3, 'PER'), (26, 32, 'ORG')]}"
2193,Max.,"{'entities': [(0, 3, 'MISC')]}"
2194,Du willſt Dich am Ende mit ihr verloben—?,"{'entities': [(0, 14, 'MISC')]}"
2195,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2196,Oh nein— viel feierlicher!,"{'entities': [(0, 8, 'PER')]}"
2197,Max.,"{'entities': [(0, 3, 'MISC')]}"
2198,Du heiratheſt ſie morgen?,"{'entities': [(0, 24, 'MISC')]}"
2199,— Anatol.,"{'entities': [(2, 8, 'MISC')]}"
2200,"Nein, wie Du äußerlich biſt!","{'entities': [(10, 12, 'MISC')]}"
2201,—,{'entities': []}
2202,"Als wenn es keine Feierlichkeiten der Seele gäbe, die mit all’ dieſem Tand, der uns von dem Draußen kommt, gar nichts zu thun haben— Max.","{'entities': [(70, 74, 'MISC'), (126, 136, 'PER')]}"
2203,Alſo— Du haſt einen bisher ungekannten Winkel Deiner Gefühlswelt entdeckt— wie?,"{'entities': [(0, 8, 'ORG'), (46, 64, 'PER')]}"
2204,Als wenn ſie davon etwas verſtände! Anatol.,"{'entities': [(36, 42, 'MISC')]}"
2205,Du räthſt ungeſchickt…,"{'entities': [(21, 22, 'MISC')]}"
2206,Ich feiere ganz einfach… das Ende!,"{'entities': [(23, 24, 'MISC')]}"
2207,Max.,"{'entities': [(0, 3, 'MISC')]}"
2208,Ah!,{'entities': []}
2209,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2210,Abſchiedsſouper!,"{'entities': [(0, 16, 'ORG')]}"
2211,Max.,"{'entities': [(0, 3, 'MISC')]}"
2212,Na… und was ſoll da ich dabei,"{'entities': [(0, 3, 'LOC')]}"
2213,—?,{'entities': []}
2214,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2215,Du ſollſt unſerer Liebe die Augen zudrücken!,"{'entities': [(0, 23, 'MISC')]}"
2216,Max.,"{'entities': [(0, 3, 'MISC')]}"
2217,"Ich bitte Dich, mach’ keine geſchmackloſen Vergleiche!","{'entities': [(0, 14, 'MISC'), (16, 21, 'MISC')]}"
2218,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2219,Ich verſchiebe dieſes Souper ſchon ſeit acht Tagen— Max.,"{'entities': [(0, 28, 'MISC')]}"
2220,Da wirſt Du heute wenigſtens guten Appetit haben… Anatol,"{'entities': [(35, 42, 'PER'), (48, 56, 'MISC')]}"
2221,… Das heißt… wir ſoupirten jeden Abend mit einander… in dieſen acht Tagen— aber—,"{'entities': [(11, 12, 'MISC'), (51, 52, 'MISC')]}"
2222,"ich fand das Wort nicht, das rechte!",{'entities': []}
2223,"Ich wagte es nicht… Du haſt keine Ahnung, wie nervös das macht!","{'entities': [(18, 22, 'ORG')]}"
2224,Max.,"{'entities': [(0, 3, 'MISC')]}"
2225,Wozu brauchſt Du mich eigentlich?!,{'entities': []}
2226,Soll ich Dir das Wort ſouffliren,{'entities': []}
2227,—?,{'entities': []}
2228,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2229,Du ſollſt für alle Fälle da ſein—,{'entities': []}
2230,"Du ſollſt mir beiſtehen, wenn es nothwendig iſt— Du ſollſt mildern,— beruhigen— begreiflich machen.","{'entities': [(44, 51, 'PER')]}"
2231,Max.,"{'entities': [(0, 3, 'MISC')]}"
2232,Möchteſt,{'entities': []}
2233,"Du mir nicht zuerſt mittheilen, warum das alles geſchehen ſoll—?",{'entities': []}
2234,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2235,Mit Vergnügen!,"{'entities': [(4, 14, 'ORG')]}"
2236,… Weil ſie mich langweilt!,"{'entities': [(0, 26, 'ORG')]}"
2237,Max.,"{'entities': [(0, 3, 'MISC')]}"
2238,So amuſirt Dich alſo eine Andere—?,"{'entities': [(11, 15, 'LOC')]}"
2239,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2240,Ja…! Max.,"{'entities': [(5, 8, 'PER')]}"
2241,So… ſo…! Anatol.,"{'entities': [(6, 15, 'ORG')]}"
2242,Und was für eine Andere! Max.,"{'entities': [(25, 28, 'PER')]}"
2243,Typus—?!,"{'entities': [(0, 6, 'ORG')]}"
2244,Anatol,"{'entities': [(0, 6, 'MISC')]}"
2245,.,{'entities': []}
2246,Gar keiner!,"{'entities': [(0, 3, 'MISC')]}"
2247,… Etwas neues— etwas einziges!,"{'entities': [(8, 14, 'PER')]}"
2248,Max.,"{'entities': [(0, 3, 'MISC')]}"
2249,Nun ja… Auf den Typus kommt man immer erſt gegen Schluß… Anatol.,"{'entities': [(49, 63, 'PER')]}"
2250,Stelle,{'entities': []}
2251,Dir ein Mädchen vor— wie ſoll ich nur ſagen… dreiviertel Tact— Max.,"{'entities': [(43, 44, 'MISC'), (57, 66, 'MISC')]}"
2252,Scheinſt doch noch unter dem Einfluß des Ballets zu ſtehen!,"{'entities': [(0, 8, 'PER')]}"
2253,Anatol,"{'entities': [(0, 6, 'MISC')]}"
2254,.,{'entities': []}
2255,Ja… ich kann Dir nun einmal nicht helfen,"{'entities': [(13, 16, 'PER')]}"
2256,"… ſie erinnert mich ſo an einen getragenen Wiener Walzer— ſentimentale Heiterkeit… lächelnde, ſchalkhafte Wehmuth… das iſt ſo ihr Weſen…","{'entities': [(43, 49, 'MISC'), (50, 57, 'MISC'), (58, 70, 'MISC'), (81, 82, 'MISC'), (106, 113, 'PER'), (113, 114, 'PER'), (135, 136, 'MISC')]}"
2257,"Ein kleines, ſüßes, blondes Köpferl, weißt Du… ſo… na, es iſt ſchwer zu ſchildern!","{'entities': [(43, 46, 'MISC'), (49, 50, 'MISC')]}"
2258,"… Es wird einem warm und zufrieden bei ihr… Wenn ich ihr ein Veilchenbouquet bringe, ſteht ihr eine Thräne im Augenwinkel… Max.","{'entities': [(0, 1, 'MISC'), (42, 43, 'MISC'), (121, 126, 'MISC')]}"
2259,Verſuchs einmal mit einem Braçelet!,"{'entities': [(26, 34, 'PER')]}"
2260,Anatol,"{'entities': [(0, 6, 'MISC')]}"
2261,.,{'entities': []}
2262,…,"{'entities': [(0, 1, 'MISC')]}"
2263,"Oh, mein Lieber— das geht in dem Fall nicht— Du irrſt","{'entities': [(38, 47, 'PER')]}"
2264,Dich— glaub’ mir…,"{'entities': [(0, 5, 'MISC')]}"
2265,Mit der möcht ich auch hier nicht ſoupiren…,"{'entities': [(42, 43, 'MISC')]}"
2266,"Für die iſt das Vorſtadtbeiſel, das gemütliche— mit den geſchmackloſen Tapeten und den kleinen Beamten am Nebentiſch!","{'entities': [(36, 47, 'PER')]}"
2267,—,{'entities': []}
2268,Ich war die letzten Abende immer in ſolchen Localen mit ihr!,{'entities': []}
2269,Max.,"{'entities': [(0, 3, 'MISC')]}"
2270,Wie?,{'entities': []}
2271,—,{'entities': []}
2272,"Du ſagteſt doch eben, daß Du mit Annie— Anatol.","{'entities': [(0, 46, 'MISC')]}"
2273,Ja ſo iſt’s auch.,{'entities': []}
2274,"Ich mußte die letzte Woche jeden Abend zweimal ſoupiren: mit der einen, die ich gewinnen— und mit der Andern, die ich loswerden wollte… Es iſt mir leider noch keines von Beiden gelungen…","{'entities': [(102, 108, 'MISC'), (134, 135, 'PER'), (185, 186, 'MISC')]}"
2275,Max.,"{'entities': [(0, 3, 'MISC')]}"
2276,Weißt Du was?,"{'entities': [(0, 8, 'LOC')]}"
2277,—,{'entities': []}
2278,Führe einmal die Annie in ſo ein Vorſtadtbeiſel— und die Neue mit dem blonden Köpferl zum Sacher… dann wird’s vielleicht gehen!,"{'entities': [(17, 22, 'MISC'), (90, 96, 'MISC'), (96, 97, 'MISC')]}"
2279,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2280,"Dein Verſtändniß für die Sache leidet darunter, daß Du die Neue noch nicht kennſt.","{'entities': [(0, 16, 'PER'), (52, 63, 'MISC')]}"
2281,Die iſt die Anſpruchsloſigkeit ſelbſt!,{'entities': []}
2282,"— Oh, ich ſage Dir— ein Mädel—","{'entities': [(2, 4, 'MISC')]}"
2283,"Du ſollteſt ſehen, wenn ich eine etwas beſſere Sorte Wein beſtellen will,… was die treibt!","{'entities': [(0, 17, 'MISC'), (73, 74, 'MISC')]}"
2284,Max.,"{'entities': [(0, 3, 'MISC')]}"
2285,Thräne im Augenwinkel— wie?,"{'entities': [(10, 22, 'LOC')]}"
2286,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
2287,Sie giebt es nicht zu— unter gar keiner Bedingung;,{'entities': []}
2288,unter gar keiner Bedingung!,{'entities': []}
2289,… Max.,"{'entities': [(2, 5, 'PER')]}"
